"","method","Nt","p0","p1","miss0","miss1"
"490","GI",200,0.3,0.3,0.3,0.3
"491","GI",200,0.3,0.3,0.3,0.4
"492","GI",200,0.3,0.3,0.3,0.5
"493","GI",200,0.3,0.3,0.4,0
"494","GI",200,0.3,0.3,0.4,0.1
"495","GI",200,0.3,0.3,0.4,0.2
"496","GI",200,0.3,0.3,0.4,0.3
"497","GI",200,0.3,0.3,0.4,0.4
"498","GI",200,0.3,0.3,0.4,0.5
"499","GI",200,0.3,0.3,0.5,0
"500","GI",200,0.3,0.3,0.5,0.1
"501","GI",200,0.3,0.3,0.5,0.2
"502","GI",200,0.3,0.3,0.5,0.3
"503","GI",200,0.3,0.3,0.5,0.4
"504","GI",200,0.3,0.3,0.5,0.5
"505","GI",200,0.5,0.5,0,0
"506","GI",200,0.5,0.5,0,0.1
"507","GI",200,0.5,0.5,0,0.2
"508","GI",200,0.5,0.5,0,0.3
"509","GI",200,0.5,0.5,0,0.4
"510","GI",200,0.5,0.5,0,0.5
"511","GI",200,0.5,0.5,0.1,0
"512","GI",200,0.5,0.5,0.1,0.1
"513","GI",200,0.5,0.5,0.1,0.2
"514","GI",200,0.5,0.5,0.1,0.3
"515","GI",200,0.5,0.5,0.1,0.4
"516","GI",200,0.5,0.5,0.1,0.5
"517","GI",200,0.5,0.5,0.2,0
"518","GI",200,0.5,0.5,0.2,0.1
"519","GI",200,0.5,0.5,0.2,0.2
"520","GI",200,0.5,0.5,0.2,0.3
"521","GI",200,0.5,0.5,0.2,0.4
"522","GI",200,0.5,0.5,0.2,0.5
"523","GI",200,0.5,0.5,0.3,0
"524","GI",200,0.5,0.5,0.3,0.1
"525","GI",200,0.5,0.5,0.3,0.2
"526","GI",200,0.5,0.5,0.3,0.3
"527","GI",200,0.5,0.5,0.3,0.4
"528","GI",200,0.5,0.5,0.3,0.5
"529","GI",200,0.5,0.5,0.4,0
"530","GI",200,0.5,0.5,0.4,0.1
"531","GI",200,0.5,0.5,0.4,0.2
"532","GI",200,0.5,0.5,0.4,0.3
"533","GI",200,0.5,0.5,0.4,0.4
"534","GI",200,0.5,0.5,0.4,0.5
"535","GI",200,0.5,0.5,0.5,0
"536","GI",200,0.5,0.5,0.5,0.1
"537","GI",200,0.5,0.5,0.5,0.2
"538","GI",200,0.5,0.5,0.5,0.3
"539","GI",200,0.5,0.5,0.5,0.4
"540","GI",200,0.5,0.5,0.5,0.5
"541","GI",200,0.7,0.7,0,0
"542","GI",200,0.7,0.7,0,0.1
"543","GI",200,0.7,0.7,0,0.2
"544","GI",200,0.7,0.7,0,0.3
"545","GI",200,0.7,0.7,0,0.4
"546","GI",200,0.7,0.7,0,0.5
"547","GI",200,0.7,0.7,0.1,0
"548","GI",200,0.7,0.7,0.1,0.1
"549","GI",200,0.7,0.7,0.1,0.2
"550","GI",200,0.7,0.7,0.1,0.3
"551","GI",200,0.7,0.7,0.1,0.4
"552","GI",200,0.7,0.7,0.1,0.5
"553","GI",200,0.7,0.7,0.2,0
"554","GI",200,0.7,0.7,0.2,0.1
"555","GI",200,0.7,0.7,0.2,0.2
"556","GI",200,0.7,0.7,0.2,0.3
"557","GI",200,0.7,0.7,0.2,0.4
"558","GI",200,0.7,0.7,0.2,0.5
"559","GI",200,0.7,0.7,0.3,0
"560","GI",200,0.7,0.7,0.3,0.1
"561","GI",200,0.7,0.7,0.3,0.2
"562","GI",200,0.7,0.7,0.3,0.3
"563","GI",200,0.7,0.7,0.3,0.4
"564","GI",200,0.7,0.7,0.3,0.5
"565","GI",200,0.7,0.7,0.4,0
"566","GI",200,0.7,0.7,0.4,0.1
"567","GI",200,0.7,0.7,0.4,0.2
"568","GI",200,0.7,0.7,0.4,0.3
"569","GI",200,0.7,0.7,0.4,0.4
"570","GI",200,0.7,0.7,0.4,0.5
"571","GI",200,0.7,0.7,0.5,0
"572","GI",200,0.7,0.7,0.5,0.1
"573","GI",200,0.7,0.7,0.5,0.2
"574","GI",200,0.7,0.7,0.5,0.3
"575","GI",200,0.7,0.7,0.5,0.4
"576","GI",200,0.7,0.7,0.5,0.5
"577","GI",200,0.9,0.9,0,0
"578","GI",200,0.9,0.9,0,0.1
"579","GI",200,0.9,0.9,0,0.2
"580","GI",200,0.9,0.9,0,0.3
"581","GI",200,0.9,0.9,0,0.4
"582","GI",200,0.9,0.9,0,0.5
"583","GI",200,0.9,0.9,0.1,0
"584","GI",200,0.9,0.9,0.1,0.1
"585","GI",200,0.9,0.9,0.1,0.2
"586","GI",200,0.9,0.9,0.1,0.3
"587","GI",200,0.9,0.9,0.1,0.4
"588","GI",200,0.9,0.9,0.1,0.5
"589","GI",200,0.9,0.9,0.2,0
"590","GI",200,0.9,0.9,0.2,0.1
"591","GI",200,0.9,0.9,0.2,0.2
"592","GI",200,0.9,0.9,0.2,0.3
"593","GI",200,0.9,0.9,0.2,0.4
"594","GI",200,0.9,0.9,0.2,0.5
"595","GI",200,0.9,0.9,0.3,0
"596","GI",200,0.9,0.9,0.3,0.1
"597","GI",200,0.9,0.9,0.3,0.2
