"","method","Nt","p0","p1","miss0","miss1"
"235","TS",162,0.1,0.3,0.3,0
"236","TS",162,0.1,0.3,0.3,0.1
"237","TS",162,0.1,0.3,0.3,0.2
"238","TS",162,0.1,0.3,0.3,0.3
"239","TS",162,0.1,0.3,0.3,0.4
"240","TS",162,0.1,0.3,0.3,0.5
"241","TS",162,0.1,0.3,0.4,0
"242","TS",162,0.1,0.3,0.4,0.1
"243","TS",162,0.1,0.3,0.4,0.2
"244","TS",162,0.1,0.3,0.4,0.3
"245","TS",162,0.1,0.3,0.4,0.4
"246","TS",162,0.1,0.3,0.4,0.5
"247","TS",162,0.1,0.3,0.5,0
"248","TS",162,0.1,0.3,0.5,0.1
"249","TS",162,0.1,0.3,0.5,0.2
"250","TS",162,0.1,0.3,0.5,0.3
"251","TS",162,0.1,0.3,0.5,0.4
"252","TS",162,0.1,0.3,0.5,0.5
"253","TS",82,0.1,0.4,0,0
"254","TS",82,0.1,0.4,0,0.1
"255","TS",82,0.1,0.4,0,0.2
"256","TS",82,0.1,0.4,0,0.3
"257","TS",82,0.1,0.4,0,0.4
"258","TS",82,0.1,0.4,0,0.5
"259","TS",82,0.1,0.4,0.1,0
"260","TS",82,0.1,0.4,0.1,0.1
"261","TS",82,0.1,0.4,0.1,0.2
"262","TS",82,0.1,0.4,0.1,0.3
"263","TS",82,0.1,0.4,0.1,0.4
"264","TS",82,0.1,0.4,0.1,0.5
"265","TS",82,0.1,0.4,0.2,0
"266","TS",82,0.1,0.4,0.2,0.1
"267","TS",82,0.1,0.4,0.2,0.2
"268","TS",82,0.1,0.4,0.2,0.3
"269","TS",82,0.1,0.4,0.2,0.4
"270","TS",82,0.1,0.4,0.2,0.5
"271","TS",82,0.1,0.4,0.3,0
"272","TS",82,0.1,0.4,0.3,0.1
"273","TS",82,0.1,0.4,0.3,0.2
"274","TS",82,0.1,0.4,0.3,0.3
"275","TS",82,0.1,0.4,0.3,0.4
"276","TS",82,0.1,0.4,0.3,0.5
"277","TS",82,0.1,0.4,0.4,0
"278","TS",82,0.1,0.4,0.4,0.1
"279","TS",82,0.1,0.4,0.4,0.2
"280","TS",82,0.1,0.4,0.4,0.3
"281","TS",82,0.1,0.4,0.4,0.4
"282","TS",82,0.1,0.4,0.4,0.5
"283","TS",82,0.1,0.4,0.5,0
"284","TS",82,0.1,0.4,0.5,0.1
"285","TS",82,0.1,0.4,0.5,0.2
"286","TS",82,0.1,0.4,0.5,0.3
"287","TS",82,0.1,0.4,0.5,0.4
"288","TS",82,0.1,0.4,0.5,0.5
"289","TS",254,0.4,0.6,0,0
"290","TS",254,0.4,0.6,0,0.1
"291","TS",254,0.4,0.6,0,0.2
"292","TS",254,0.4,0.6,0,0.3
"293","TS",254,0.4,0.6,0,0.4
"294","TS",254,0.4,0.6,0,0.5
"295","TS",254,0.4,0.6,0.1,0
"296","TS",254,0.4,0.6,0.1,0.1
"297","TS",254,0.4,0.6,0.1,0.2
"298","TS",254,0.4,0.6,0.1,0.3
"299","TS",254,0.4,0.6,0.1,0.4
"300","TS",254,0.4,0.6,0.1,0.5
"301","TS",254,0.4,0.6,0.2,0
"302","TS",254,0.4,0.6,0.2,0.1
"303","TS",254,0.4,0.6,0.2,0.2
"304","TS",254,0.4,0.6,0.2,0.3
"305","TS",254,0.4,0.6,0.2,0.4
"306","TS",254,0.4,0.6,0.2,0.5
"307","TS",254,0.4,0.6,0.3,0
"308","TS",254,0.4,0.6,0.3,0.1
"309","TS",254,0.4,0.6,0.3,0.2
"310","TS",254,0.4,0.6,0.3,0.3
"311","TS",254,0.4,0.6,0.3,0.4
"312","TS",254,0.4,0.6,0.3,0.5
"313","TS",254,0.4,0.6,0.4,0
"314","TS",254,0.4,0.6,0.4,0.1
"315","TS",254,0.4,0.6,0.4,0.2
"316","TS",254,0.4,0.6,0.4,0.3
"317","TS",254,0.4,0.6,0.4,0.4
"318","TS",254,0.4,0.6,0.4,0.5
"319","TS",254,0.4,0.6,0.5,0
"320","TS",254,0.4,0.6,0.5,0.1
"321","TS",254,0.4,0.6,0.5,0.2
"322","TS",254,0.4,0.6,0.5,0.3
"323","TS",254,0.4,0.6,0.5,0.4
"324","TS",254,0.4,0.6,0.5,0.5
"325","TS",82,0.6,0.9,0,0
"326","TS",82,0.6,0.9,0,0.1
"327","TS",82,0.6,0.9,0,0.2
"328","TS",82,0.6,0.9,0,0.3
"329","TS",82,0.6,0.9,0,0.4
"330","TS",82,0.6,0.9,0,0.5
"331","TS",82,0.6,0.9,0.1,0
"332","TS",82,0.6,0.9,0.1,0.1
"333","TS",82,0.6,0.9,0.1,0.2
"334","TS",82,0.6,0.9,0.1,0.3
"335","TS",82,0.6,0.9,0.1,0.4
"336","TS",82,0.6,0.9,0.1,0.5
"337","TS",82,0.6,0.9,0.2,0
"338","TS",82,0.6,0.9,0.2,0.1
"339","TS",82,0.6,0.9,0.2,0.2
"340","TS",82,0.6,0.9,0.2,0.3
"341","TS",82,0.6,0.9,0.2,0.4
"342","TS",82,0.6,0.9,0.2,0.5
"343","TS",82,0.6,0.9,0.3,0
"344","TS",82,0.6,0.9,0.3,0.1
"345","TS",82,0.6,0.9,0.3,0.2
"346","TS",82,0.6,0.9,0.3,0.3
"347","TS",82,0.6,0.9,0.3,0.4
"348","TS",82,0.6,0.9,0.3,0.5
"349","TS",82,0.6,0.9,0.4,0
"350","TS",82,0.6,0.9,0.4,0.1
"351","TS",82,0.6,0.9,0.4,0.2
"352","TS",82,0.6,0.9,0.4,0.3
"353","TS",82,0.6,0.9,0.4,0.4
"354","TS",82,0.6,0.9,0.4,0.5
"355","TS",82,0.6,0.9,0.5,0
"356","TS",82,0.6,0.9,0.5,0.1
"357","TS",82,0.6,0.9,0.5,0.2
"358","TS",82,0.6,0.9,0.5,0.3
"359","TS",82,0.6,0.9,0.5,0.4
"360","TS",82,0.6,0.9,0.5,0.5
"361","TS",162,0.7,0.9,0,0
"362","TS",162,0.7,0.9,0,0.1
"363","TS",162,0.7,0.9,0,0.2
"364","TS",162,0.7,0.9,0,0.3
"365","TS",162,0.7,0.9,0,0.4
"366","TS",162,0.7,0.9,0,0.5
"367","TS",162,0.7,0.9,0.1,0
"368","TS",162,0.7,0.9,0.1,0.1
"369","TS",162,0.7,0.9,0.1,0.2
