"","method","Nt","p0","p1","miss0","miss1"
"178","RPW",200,0.9,0.9,0.5,0.3
"179","RPW",200,0.9,0.9,0.5,0.4
"180","RPW",200,0.9,0.9,0.5,0.5
"181","RPW",526,0.1,0.2,0,0
"182","RPW",526,0.1,0.2,0,0.1
"183","RPW",526,0.1,0.2,0,0.2
"184","RPW",526,0.1,0.2,0,0.3
"185","RPW",526,0.1,0.2,0,0.4
"186","RPW",526,0.1,0.2,0,0.5
"187","RPW",526,0.1,0.2,0.1,0
"188","RPW",526,0.1,0.2,0.1,0.1
"189","RPW",526,0.1,0.2,0.1,0.2
"190","RPW",526,0.1,0.2,0.1,0.3
"191","RPW",526,0.1,0.2,0.1,0.4
"192","RPW",526,0.1,0.2,0.1,0.5
"193","RPW",526,0.1,0.2,0.2,0
"194","RPW",526,0.1,0.2,0.2,0.1
"195","RPW",526,0.1,0.2,0.2,0.2
"196","RPW",526,0.1,0.2,0.2,0.3
"197","RPW",526,0.1,0.2,0.2,0.4
"198","RPW",526,0.1,0.2,0.2,0.5
"199","RPW",526,0.1,0.2,0.3,0
"200","RPW",526,0.1,0.2,0.3,0.1
"201","RPW",526,0.1,0.2,0.3,0.2
"202","RPW",526,0.1,0.2,0.3,0.3
"203","RPW",526,0.1,0.2,0.3,0.4
"204","RPW",526,0.1,0.2,0.3,0.5
"205","RPW",526,0.1,0.2,0.4,0
"206","RPW",526,0.1,0.2,0.4,0.1
"207","RPW",526,0.1,0.2,0.4,0.2
"208","RPW",526,0.1,0.2,0.4,0.3
"209","RPW",526,0.1,0.2,0.4,0.4
"210","RPW",526,0.1,0.2,0.4,0.5
"211","RPW",526,0.1,0.2,0.5,0
"212","RPW",526,0.1,0.2,0.5,0.1
"213","RPW",526,0.1,0.2,0.5,0.2
"214","RPW",526,0.1,0.2,0.5,0.3
"215","RPW",526,0.1,0.2,0.5,0.4
"216","RPW",526,0.1,0.2,0.5,0.5
"217","RPW",162,0.1,0.3,0,0
"218","RPW",162,0.1,0.3,0,0.1
"219","RPW",162,0.1,0.3,0,0.2
"220","RPW",162,0.1,0.3,0,0.3
"221","RPW",162,0.1,0.3,0,0.4
"222","RPW",162,0.1,0.3,0,0.5
"223","RPW",162,0.1,0.3,0.1,0
"224","RPW",162,0.1,0.3,0.1,0.1
"225","RPW",162,0.1,0.3,0.1,0.2
"226","RPW",162,0.1,0.3,0.1,0.3
"227","RPW",162,0.1,0.3,0.1,0.4
"228","RPW",162,0.1,0.3,0.1,0.5
"229","RPW",162,0.1,0.3,0.2,0
"230","RPW",162,0.1,0.3,0.2,0.1
"231","RPW",162,0.1,0.3,0.2,0.2
"232","RPW",162,0.1,0.3,0.2,0.3
"233","RPW",162,0.1,0.3,0.2,0.4
"234","RPW",162,0.1,0.3,0.2,0.5
"235","RPW",162,0.1,0.3,0.3,0
"236","RPW",162,0.1,0.3,0.3,0.1
"237","RPW",162,0.1,0.3,0.3,0.2
"238","RPW",162,0.1,0.3,0.3,0.3
"239","RPW",162,0.1,0.3,0.3,0.4
"240","RPW",162,0.1,0.3,0.3,0.5
"241","RPW",162,0.1,0.3,0.4,0
"242","RPW",162,0.1,0.3,0.4,0.1
"243","RPW",162,0.1,0.3,0.4,0.2
"244","RPW",162,0.1,0.3,0.4,0.3
"245","RPW",162,0.1,0.3,0.4,0.4
"246","RPW",162,0.1,0.3,0.4,0.5
"247","RPW",162,0.1,0.3,0.5,0
"248","RPW",162,0.1,0.3,0.5,0.1
"249","RPW",162,0.1,0.3,0.5,0.2
"250","RPW",162,0.1,0.3,0.5,0.3
"251","RPW",162,0.1,0.3,0.5,0.4
"252","RPW",162,0.1,0.3,0.5,0.5
"253","RPW",82,0.1,0.4,0,0
"254","RPW",82,0.1,0.4,0,0.1
"255","RPW",82,0.1,0.4,0,0.2
"256","RPW",82,0.1,0.4,0,0.3
"257","RPW",82,0.1,0.4,0,0.4
"258","RPW",82,0.1,0.4,0,0.5
"259","RPW",82,0.1,0.4,0.1,0
"260","RPW",82,0.1,0.4,0.1,0.1
"261","RPW",82,0.1,0.4,0.1,0.2
"262","RPW",82,0.1,0.4,0.1,0.3
"263","RPW",82,0.1,0.4,0.1,0.4
"264","RPW",82,0.1,0.4,0.1,0.5
"265","RPW",82,0.1,0.4,0.2,0
"266","RPW",82,0.1,0.4,0.2,0.1
"267","RPW",82,0.1,0.4,0.2,0.2
"268","RPW",82,0.1,0.4,0.2,0.3
"269","RPW",82,0.1,0.4,0.2,0.4
"270","RPW",82,0.1,0.4,0.2,0.5
"271","RPW",82,0.1,0.4,0.3,0
"272","RPW",82,0.1,0.4,0.3,0.1
"273","RPW",82,0.1,0.4,0.3,0.2
"274","RPW",82,0.1,0.4,0.3,0.3
"275","RPW",82,0.1,0.4,0.3,0.4
"276","RPW",82,0.1,0.4,0.3,0.5
"277","RPW",82,0.1,0.4,0.4,0
"278","RPW",82,0.1,0.4,0.4,0.1
"279","RPW",82,0.1,0.4,0.4,0.2
"280","RPW",82,0.1,0.4,0.4,0.3
"281","RPW",82,0.1,0.4,0.4,0.4
"282","RPW",82,0.1,0.4,0.4,0.5
"283","RPW",82,0.1,0.4,0.5,0
"284","RPW",82,0.1,0.4,0.5,0.1
"285","RPW",82,0.1,0.4,0.5,0.2
"286","RPW",82,0.1,0.4,0.5,0.3
"287","RPW",82,0.1,0.4,0.5,0.4
"288","RPW",82,0.1,0.4,0.5,0.5
"289","RPW",254,0.4,0.6,0,0
"290","RPW",254,0.4,0.6,0,0.1
"291","RPW",254,0.4,0.6,0,0.2
"292","RPW",254,0.4,0.6,0,0.3
"293","RPW",254,0.4,0.6,0,0.4
"294","RPW",254,0.4,0.6,0,0.5
"295","RPW",254,0.4,0.6,0.1,0
"296","RPW",254,0.4,0.6,0.1,0.1
"297","RPW",254,0.4,0.6,0.1,0.2
"298","RPW",254,0.4,0.6,0.1,0.3
"299","RPW",254,0.4,0.6,0.1,0.4
"300","RPW",254,0.4,0.6,0.1,0.5
"301","RPW",254,0.4,0.6,0.2,0
"302","RPW",254,0.4,0.6,0.2,0.1
"303","RPW",254,0.4,0.6,0.2,0.2
"304","RPW",254,0.4,0.6,0.2,0.3
"305","RPW",254,0.4,0.6,0.2,0.4
"306","RPW",254,0.4,0.6,0.2,0.5
"307","RPW",254,0.4,0.6,0.3,0
"308","RPW",254,0.4,0.6,0.3,0.1
"309","RPW",254,0.4,0.6,0.3,0.2
"310","RPW",254,0.4,0.6,0.3,0.3
"311","RPW",254,0.4,0.6,0.3,0.4
"312","RPW",254,0.4,0.6,0.3,0.5
"313","RPW",254,0.4,0.6,0.4,0
"314","RPW",254,0.4,0.6,0.4,0.1
"315","RPW",254,0.4,0.6,0.4,0.2
"316","RPW",254,0.4,0.6,0.4,0.3
"317","RPW",254,0.4,0.6,0.4,0.4
"318","RPW",254,0.4,0.6,0.4,0.5
"319","RPW",254,0.4,0.6,0.5,0
"320","RPW",254,0.4,0.6,0.5,0.1
"321","RPW",254,0.4,0.6,0.5,0.2
"322","RPW",254,0.4,0.6,0.5,0.3
"323","RPW",254,0.4,0.6,0.5,0.4
"324","RPW",254,0.4,0.6,0.5,0.5
"325","RPW",82,0.6,0.9,0,0
"326","RPW",82,0.6,0.9,0,0.1
"327","RPW",82,0.6,0.9,0,0.2
"328","RPW",82,0.6,0.9,0,0.3
