"","method","Nt","p0","p1","miss0","miss1","POS","POS_se","scenario"
"149","RandUCB",200,0.9,0.9,0,0.4,0.865368657905066,0.0497738959034686,5
"150","RandUCB",200,0.9,0.9,0,0.5,0.865368657905066,0.0497738959034686,5
"151","RandUCB",200,0.9,0.9,0.1,0,0.865368657905066,0.0497738959034686,5
"152","RandUCB",200,0.9,0.9,0.1,0.1,0.865368657905066,0.0497738959034686,5
"153","RandUCB",200,0.9,0.9,0.1,0.2,0.865368657905066,0.0497738959034686,5
"154","RandUCB",200,0.9,0.9,0.1,0.3,0.865368657905066,0.0497738959034686,5
"155","RandUCB",200,0.9,0.9,0.1,0.4,0.865368657905066,0.0497738959034686,5
"156","RandUCB",200,0.9,0.9,0.1,0.5,0.865368657905066,0.0497738959034686,5
"157","RandUCB",200,0.9,0.9,0.2,0,0.865368657905066,0.0497738959034686,5
"158","RandUCB",200,0.9,0.9,0.2,0.1,0.865368657905066,0.0497738959034686,5
"159","RandUCB",200,0.9,0.9,0.2,0.2,0.865368657905066,0.0497738959034686,5
"160","RandUCB",200,0.9,0.9,0.2,0.3,0.865368657905066,0.0497738959034686,5
"161","RandUCB",200,0.9,0.9,0.2,0.4,0.865368657905066,0.0497738959034686,5
"162","RandUCB",200,0.9,0.9,0.2,0.5,0.865368657905066,0.0497738959034686,5
"163","RandUCB",200,0.9,0.9,0.3,0,0.865368657905066,0.0497738959034686,5
"164","RandUCB",200,0.9,0.9,0.3,0.1,0.865368657905066,0.0497738959034686,5
"165","RandUCB",200,0.9,0.9,0.3,0.2,0.865368657905066,0.0497738959034686,5
"166","RandUCB",200,0.9,0.9,0.3,0.3,0.865368657905066,0.0497738959034686,5
"167","RandUCB",200,0.9,0.9,0.3,0.4,0.865368657905066,0.0497738959034686,5
"168","RandUCB",200,0.9,0.9,0.3,0.5,0.865368657905066,0.0497738959034686,5
"169","RandUCB",200,0.9,0.9,0.4,0,0.865368657905066,0.0497738959034686,5
"170","RandUCB",200,0.9,0.9,0.4,0.1,0.865368657905066,0.0497738959034686,5
"171","RandUCB",200,0.9,0.9,0.4,0.2,0.865368657905066,0.0497738959034686,5
"172","RandUCB",200,0.9,0.9,0.4,0.3,0.865368657905066,0.0497738959034686,5
"173","RandUCB",200,0.9,0.9,0.4,0.4,0.865368657905066,0.0497738959034686,5
"174","RandUCB",200,0.9,0.9,0.4,0.5,0.865368657905066,0.0497738959034686,5
"175","RandUCB",200,0.9,0.9,0.5,0,0.865368657905066,0.0497738959034686,5
"176","RandUCB",200,0.9,0.9,0.5,0.1,0.865368657905066,0.0497738959034686,5
"177","RandUCB",200,0.9,0.9,0.5,0.2,0.865368657905066,0.0497738959034686,5
"178","RandUCB",200,0.9,0.9,0.5,0.3,0.865368657905066,0.0497738959034686,5
"179","RandUCB",200,0.9,0.9,0.5,0.4,0.865368657905066,0.0497738959034686,5
"180","RandUCB",200,0.9,0.9,0.5,0.5,0.865368657905066,0.0497738959034686,5
"181","RandUCB",526,0.1,0.2,0,0,0.865368657905066,0.0497738959034686,6
"182","RandUCB",526,0.1,0.2,0,0.1,0.865368657905066,0.0497738959034686,6
"183","RandUCB",526,0.1,0.2,0,0.2,0.865368657905066,0.0497738959034686,6
"184","RandUCB",526,0.1,0.2,0,0.3,0.865368657905066,0.0497738959034686,6
"185","RandUCB",526,0.1,0.2,0,0.4,0.865368657905066,0.0497738959034686,6
"186","RandUCB",526,0.1,0.2,0,0.5,0.865368657905066,0.0497738959034686,6
"187","RandUCB",526,0.1,0.2,0.1,0,0.865368657905066,0.0497738959034686,6
"188","RandUCB",526,0.1,0.2,0.1,0.1,0.865368657905066,0.0497738959034686,6
"189","RandUCB",526,0.1,0.2,0.1,0.2,0.865368657905066,0.0497738959034686,6
"190","RandUCB",526,0.1,0.2,0.1,0.3,0.865368657905066,0.0497738959034686,6
"191","RandUCB",526,0.1,0.2,0.1,0.4,0.865368657905066,0.0497738959034686,6
"192","RandUCB",526,0.1,0.2,0.1,0.5,0.865368657905066,0.0497738959034686,6
"193","RandUCB",526,0.1,0.2,0.2,0,0.865368657905066,0.0497738959034686,6
"194","RandUCB",526,0.1,0.2,0.2,0.1,0.865368657905066,0.0497738959034686,6
"195","RandUCB",526,0.1,0.2,0.2,0.2,0.865368657905066,0.0497738959034686,6
"196","RandUCB",526,0.1,0.2,0.2,0.3,0.865368657905066,0.0497738959034686,6
"197","RandUCB",526,0.1,0.2,0.2,0.4,0.865368657905066,0.0497738959034686,6
"198","RandUCB",526,0.1,0.2,0.2,0.5,0.865368657905066,0.0497738959034686,6
"199","RandUCB",526,0.1,0.2,0.3,0,0.865368657905066,0.0497738959034686,6
"200","RandUCB",526,0.1,0.2,0.3,0.1,0.865368657905066,0.0497738959034686,6
"201","RandUCB",526,0.1,0.2,0.3,0.2,0.865368657905066,0.0497738959034686,6
"202","RandUCB",526,0.1,0.2,0.3,0.3,0.865368657905066,0.0497738959034686,6
"203","RandUCB",526,0.1,0.2,0.3,0.4,0.865368657905066,0.0497738959034686,6
"204","RandUCB",526,0.1,0.2,0.3,0.5,0.865368657905066,0.0497738959034686,6
"205","RandUCB",526,0.1,0.2,0.4,0,0.865368657905066,0.0497738959034686,6
"206","RandUCB",526,0.1,0.2,0.4,0.1,0.865368657905066,0.0497738959034686,6
"207","RandUCB",526,0.1,0.2,0.4,0.2,0.865368657905066,0.0497738959034686,6
"208","RandUCB",526,0.1,0.2,0.4,0.3,0.865368657905066,0.0497738959034686,6
"209","RandUCB",526,0.1,0.2,0.4,0.4,0.865368657905066,0.0497738959034686,6
"210","RandUCB",526,0.1,0.2,0.4,0.5,0.865368657905066,0.0497738959034686,6
"211","RandUCB",526,0.1,0.2,0.5,0,0.865368657905066,0.0497738959034686,6
"212","RandUCB",526,0.1,0.2,0.5,0.1,0.865368657905066,0.0497738959034686,6
"213","RandUCB",526,0.1,0.2,0.5,0.2,0.865368657905066,0.0497738959034686,6
"214","RandUCB",526,0.1,0.2,0.5,0.3,0.865368657905066,0.0497738959034686,6
"215","RandUCB",526,0.1,0.2,0.5,0.4,0.865368657905066,0.0497738959034686,6
"216","RandUCB",526,0.1,0.2,0.5,0.5,0.865368657905066,0.0497738959034686,6
"217","RandUCB",162,0.1,0.3,0,0,0.865368657905066,0.0497738959034686,7
"218","RandUCB",162,0.1,0.3,0,0.1,0.865368657905066,0.0497738959034686,7
"219","RandUCB",162,0.1,0.3,0,0.2,0.865368657905066,0.0497738959034686,7
"220","RandUCB",162,0.1,0.3,0,0.3,0.865368657905066,0.0497738959034686,7
"221","RandUCB",162,0.1,0.3,0,0.4,0.865368657905066,0.0497738959034686,7
"222","RandUCB",162,0.1,0.3,0,0.5,0.865368657905066,0.0497738959034686,7
"223","RandUCB",162,0.1,0.3,0.1,0,0.865368657905066,0.0497738959034686,7
"224","RandUCB",162,0.1,0.3,0.1,0.1,0.865368657905066,0.0497738959034686,7
"225","RandUCB",162,0.1,0.3,0.1,0.2,0.865368657905066,0.0497738959034686,7
"226","RandUCB",162,0.1,0.3,0.1,0.3,0.865368657905066,0.0497738959034686,7
"227","RandUCB",162,0.1,0.3,0.1,0.4,0.865368657905066,0.0497738959034686,7
"228","RandUCB",162,0.1,0.3,0.1,0.5,0.865368657905066,0.0497738959034686,7
"229","RandUCB",162,0.1,0.3,0.2,0,0.865368657905066,0.0497738959034686,7
"230","RandUCB",162,0.1,0.3,0.2,0.1,0.865368657905066,0.0497738959034686,7
"231","RandUCB",162,0.1,0.3,0.2,0.2,0.865368657905066,0.0497738959034686,7
"232","RandUCB",162,0.1,0.3,0.2,0.3,0.865368657905066,0.0497738959034686,7
