"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"146","CB",200,0.9,0.9,0,0.1,-0.0953132650002915,-0.105440061584737,5
"147","CB",200,0.9,0.9,0,0.2,-0.100237043681101,-0.102697602879092,5
"148","CB",200,0.9,0.9,0,0.3,-0.0958938108735402,-0.096075802312466,5
"149","CB",200,0.9,0.9,0,0.4,-0.0932065580340241,-0.0998285377609085,5
"150","CB",200,0.9,0.9,0,0.5,-0.101878600536176,-0.0996692177112087,5
"151","CB",200,0.9,0.9,0.1,0,-0.0959441073658772,-0.0995915677704096,5
"152","CB",200,0.9,0.9,0.1,0.1,-0.094901955938103,-0.0966378279551325,5
"153","CB",200,0.9,0.9,0.1,0.2,-0.100036261767794,-0.0989734481708849,5
"154","CB",200,0.9,0.9,0.1,0.3,-0.100386656957939,-0.101433364092548,5
"155","CB",200,0.9,0.9,0.1,0.4,-0.0984349904473533,-0.101447413601624,5
"156","CB",200,0.9,0.9,0.1,0.5,-0.101681778394991,-0.105062859822978,5
"157","CB",200,0.9,0.9,0.2,0,-0.10323586826718,-0.097324118209708,5
"158","CB",200,0.9,0.9,0.2,0.1,-0.105896245057906,-0.0937191072176345,5
"159","CB",200,0.9,0.9,0.2,0.2,-0.0996561681999332,-0.0944450776171714,5
"160","CB",200,0.9,0.9,0.2,0.3,-0.0993311055712653,-0.0997947256981364,5
"161","CB",200,0.9,0.9,0.2,0.4,-0.0997464745030874,-0.102532780613347,5
"162","CB",200,0.9,0.9,0.2,0.5,-0.0976097794001726,-0.102781101669294,5
"163","CB",200,0.9,0.9,0.3,0,-0.0982580911210168,-0.0979895656753692,5
"164","CB",200,0.9,0.9,0.3,0.1,-0.10180581499911,-0.0984361528449144,5
"165","CB",200,0.9,0.9,0.3,0.2,-0.102665358995328,-0.099840032559829,5
"166","CB",200,0.9,0.9,0.3,0.3,-0.097151900881839,-0.101626759496223,5
"167","CB",200,0.9,0.9,0.3,0.4,-0.100306344396939,-0.105368986088711,5
"168","CB",200,0.9,0.9,0.3,0.5,-0.0986901359719404,-0.0976074480696707,5
"169","CB",200,0.9,0.9,0.4,0,-0.0990148918292182,-0.0918594873837609,5
"170","CB",200,0.9,0.9,0.4,0.1,-0.103715785830957,-0.0963409590099013,5
"171","CB",200,0.9,0.9,0.4,0.2,-0.101345383905128,-0.0950546882362714,5
"172","CB",200,0.9,0.9,0.4,0.3,-0.0968270555660963,-0.0964206363544119,5
"173","CB",200,0.9,0.9,0.4,0.4,-0.0984396269116989,-0.0925042304238716,5
"174","CB",200,0.9,0.9,0.4,0.5,-0.100151422212776,-0.101586418449893,5
"175","CB",200,0.9,0.9,0.5,0,-0.0999549009219761,-0.0940735301898282,5
"176","CB",200,0.9,0.9,0.5,0.1,-0.105047789915063,-0.0927837891614172,5
"177","CB",200,0.9,0.9,0.5,0.2,-0.0986812245535457,-0.102602488749883,5
"178","CB",200,0.9,0.9,0.5,0.3,-0.0993378872325609,-0.0943615924419625,5
"179","CB",200,0.9,0.9,0.5,0.4,-0.10794513469785,-0.0953026101653156,5
"180","CB",200,0.9,0.9,0.5,0.5,-0.0995992891337064,-0.093930670978563,5
"181","CB",526,0.1,0.2,0,0,-0.0501461806305964,-0.0162511494640213,6
"182","CB",526,0.1,0.2,0,0.1,-0.0517572349294417,-0.0167719558650925,6
"183","CB",526,0.1,0.2,0,0.2,-0.0519235969540636,-0.0161111911122225,6
"184","CB",526,0.1,0.2,0,0.3,-0.050871345769018,-0.0164832109169528,6
"185","CB",526,0.1,0.2,0,0.4,-0.0504603780550135,-0.0170166877238284,6
"186","CB",526,0.1,0.2,0,0.5,-0.0516410368858259,-0.0160231730033785,6
"187","CB",526,0.1,0.2,0.1,0,-0.0519932361711273,-0.0164676146246374,6
"188","CB",526,0.1,0.2,0.1,0.1,-0.0506617314763065,-0.0171682933731752,6
"189","CB",526,0.1,0.2,0.1,0.2,-0.0517220691049834,-0.0157753509212869,6
"190","CB",526,0.1,0.2,0.1,0.3,-0.0514987815188917,-0.0170491529696047,6
"191","CB",526,0.1,0.2,0.1,0.4,-0.0509166847553137,-0.016142790777545,6
"192","CB",526,0.1,0.2,0.1,0.5,-0.0505742898031188,-0.0172824434785927,6
"193","CB",526,0.1,0.2,0.2,0,-0.0509088016577484,-0.0164266509528091,6
"194","CB",526,0.1,0.2,0.2,0.1,-0.0509447846030259,-0.0173320691284097,6
"195","CB",526,0.1,0.2,0.2,0.2,-0.0512578605097316,-0.0169647185760923,6
"196","CB",526,0.1,0.2,0.2,0.3,-0.0503344245208513,-0.0172462167792709,6
"197","CB",526,0.1,0.2,0.2,0.4,-0.0507175188106116,-0.0182478003049163,6
