"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"90","RPW",200,0.5,0.5,0.2,0.5,-0.00417190192531736,-0.00315617854822869,3
"91","RPW",200,0.5,0.5,0.3,0,-0.00229919526485556,-0.00329572809684586,3
"92","RPW",200,0.5,0.5,0.3,0.1,-0.00312741910744535,-0.0035701700072161,3
"93","RPW",200,0.5,0.5,0.3,0.2,-0.00303801574596241,-0.00435608319934511,3
"94","RPW",200,0.5,0.5,0.3,0.3,-0.00391676086376719,-0.00412988324843827,3
"95","RPW",200,0.5,0.5,0.3,0.4,-0.00353591974208661,-0.00339476969452773,3
"96","RPW",200,0.5,0.5,0.3,0.5,-0.0036415877959588,-0.00310364878867952,3
"97","RPW",200,0.5,0.5,0.4,0,-0.00434256842788533,-0.0029962078589042,3
"98","RPW",200,0.5,0.5,0.4,0.1,-0.00292036777097943,-0.00405706097232383,3
"99","RPW",200,0.5,0.5,0.4,0.2,-0.00260882324817729,-0.00302974721933652,3
"100","RPW",200,0.5,0.5,0.4,0.3,-0.00321879617523174,-0.00372460359402521,3
"101","RPW",200,0.5,0.5,0.4,0.4,-0.00449699289963573,-0.0032370429562053,3
"102","RPW",200,0.5,0.5,0.4,0.5,-0.00413709033935417,-0.00385723299428714,3
"103","RPW",200,0.5,0.5,0.5,0,-0.00264868404986746,-0.00374811534745789,3
"104","RPW",200,0.5,0.5,0.5,0.1,-0.00359808242667226,-0.00323824898524794,3
"105","RPW",200,0.5,0.5,0.5,0.2,-0.00390593072663559,-0.00468970375729288,3
"106","RPW",200,0.5,0.5,0.5,0.3,-0.00426377234833486,-0.0050502382136608,3
"107","RPW",200,0.5,0.5,0.5,0.4,-0.00405135829445735,-0.0042726126360913,3
"108","RPW",200,0.5,0.5,0.5,0.5,-0.00332420962382801,-0.00457436596841776,3
"109","RPW",200,0.7,0.7,0,0,-0.00282459282084857,-0.00374044576925414,4
"110","RPW",200,0.7,0.7,0,0.1,-0.00364369107855977,-0.00341983532337853,4
"111","RPW",200,0.7,0.7,0,0.2,-0.00243808054170125,-0.00364951102489852,4
"112","RPW",200,0.7,0.7,0,0.3,-0.00395831195400598,-0.00489275226680297,4
"113","RPW",200,0.7,0.7,0,0.4,-0.00269059466496113,-0.00478177209001573,4
"114","RPW",200,0.7,0.7,0,0.5,-0.00382329374956802,-0.00472118921114473,4
"115","RPW",200,0.7,0.7,0.1,0,-0.00354307595759151,-0.00347659108238896,4
"116","RPW",200,0.7,0.7,0.1,0.1,-0.00358348215892446,-0.00338124207517021,4
"117","RPW",200,0.7,0.7,0.1,0.2,-0.00412959095253718,-0.00279255753074181,4
"118","RPW",200,0.7,0.7,0.1,0.3,-0.00440965241369595,-0.00376889687915971,4
"119","RPW",200,0.7,0.7,0.1,0.4,-0.00317688093103452,-0.0048543632160124,4
"120","RPW",200,0.7,0.7,0.1,0.5,-0.00331182764209015,-0.00476078176078454,4
"121","RPW",200,0.7,0.7,0.2,0,-0.00321928515512804,-0.00314273405539345,4
"122","RPW",200,0.7,0.7,0.2,0.1,-0.00336106163895344,-0.00322316439202575,4
"123","RPW",200,0.7,0.7,0.2,0.2,-0.00382973492268102,-0.00289584237863538,4
"124","RPW",200,0.7,0.7,0.2,0.3,-0.00274637484051243,-0.00394371009049499,4
"125","RPW",200,0.7,0.7,0.2,0.4,-0.00428202106657161,-0.00468641448922991,4
"126","RPW",200,0.7,0.7,0.2,0.5,-0.00364201970509215,-0.00449242677255324,4
"127","RPW",200,0.7,0.7,0.3,0,-0.00498080997292327,-0.00172799340504637,4
"128","RPW",200,0.7,0.7,0.3,0.1,-0.00403952138182562,-0.00333726565656556,4
"129","RPW",200,0.7,0.7,0.3,0.2,-0.00456648217405331,-0.00513913452032033,4
"130","RPW",200,0.7,0.7,0.3,0.3,-0.00484772819390655,-0.00396746931081204,4
"131","RPW",200,0.7,0.7,0.3,0.4,-0.00380019291701217,-0.00538603498766266,4
"132","RPW",200,0.7,0.7,0.3,0.5,-0.00448880143053143,-0.00586328573667338,4
"133","RPW",200,0.7,0.7,0.4,0,-0.00398611832420592,-0.00323845335191564,4
"134","RPW",200,0.7,0.7,0.4,0.1,-0.00391052844026074,-0.00409687615121912,4
"135","RPW",200,0.7,0.7,0.4,0.2,-0.00406062352268299,-0.00421565414161973,4
"136","RPW",200,0.7,0.7,0.4,0.3,-0.00412909681486373,-0.00399221580945053,4
"137","RPW",200,0.7,0.7,0.4,0.4,-0.00464688918149747,-0.00481763440963401,4
"138","RPW",200,0.7,0.7,0.4,0.5,-0.00441279035868969,-0.00436557618251632,4
