"","method","Nt","p0","p1","miss0","miss1","PES","PES_se","scenario"
"111","CB",200,0.7,0.7,0,0.2,0.436405703422053,0.0217558000177206,4
"112","CB",200,0.7,0.7,0,0.3,0.436405703422053,0.0217558000177206,4
"113","CB",200,0.7,0.7,0,0.4,0.436405703422053,0.0217558000177206,4
"114","CB",200,0.7,0.7,0,0.5,0.436405703422053,0.0217558000177206,4
"115","CB",200,0.7,0.7,0.1,0,0.436405703422053,0.0217558000177206,4
"116","CB",200,0.7,0.7,0.1,0.1,0.436405703422053,0.0217558000177206,4
"117","CB",200,0.7,0.7,0.1,0.2,0.436405703422053,0.0217558000177206,4
"118","CB",200,0.7,0.7,0.1,0.3,0.436405703422053,0.0217558000177206,4
"119","CB",200,0.7,0.7,0.1,0.4,0.436405703422053,0.0217558000177206,4
"120","CB",200,0.7,0.7,0.1,0.5,0.436405703422053,0.0217558000177206,4
"121","CB",200,0.7,0.7,0.2,0,0.436405703422053,0.0217558000177206,4
"122","CB",200,0.7,0.7,0.2,0.1,0.436405703422053,0.0217558000177206,4
"123","CB",200,0.7,0.7,0.2,0.2,0.436405703422053,0.0217558000177206,4
"124","CB",200,0.7,0.7,0.2,0.3,0.436405703422053,0.0217558000177206,4
"125","CB",200,0.7,0.7,0.2,0.4,0.436405703422053,0.0217558000177206,4
"126","CB",200,0.7,0.7,0.2,0.5,0.436405703422053,0.0217558000177206,4
"127","CB",200,0.7,0.7,0.3,0,0.436405703422053,0.0217558000177206,4
"128","CB",200,0.7,0.7,0.3,0.1,0.436405703422053,0.0217558000177206,4
"129","CB",200,0.7,0.7,0.3,0.2,0.436405703422053,0.0217558000177206,4
"130","CB",200,0.7,0.7,0.3,0.3,0.436405703422053,0.0217558000177206,4
"131","CB",200,0.7,0.7,0.3,0.4,0.436405703422053,0.0217558000177206,4
"132","CB",200,0.7,0.7,0.3,0.5,0.436405703422053,0.0217558000177206,4
"133","CB",200,0.7,0.7,0.4,0,0.436405703422053,0.0217558000177206,4
"134","CB",200,0.7,0.7,0.4,0.1,0.436405703422053,0.0217558000177206,4
"135","CB",200,0.7,0.7,0.4,0.2,0.436405703422053,0.0217558000177206,4
"136","CB",200,0.7,0.7,0.4,0.3,0.436405703422053,0.0217558000177206,4
"137","CB",200,0.7,0.7,0.4,0.4,0.436405703422053,0.0217558000177206,4
"138","CB",200,0.7,0.7,0.4,0.5,0.436405703422053,0.0217558000177206,4
"139","CB",200,0.7,0.7,0.5,0,0.436405703422053,0.0217558000177206,4
"140","CB",200,0.7,0.7,0.5,0.1,0.436405703422053,0.0217558000177206,4
"141","CB",200,0.7,0.7,0.5,0.2,0.436405703422053,0.0217558000177206,4
"142","CB",200,0.7,0.7,0.5,0.3,0.436405703422053,0.0217558000177206,4
"143","CB",200,0.7,0.7,0.5,0.4,0.436405703422053,0.0217558000177206,4
"144","CB",200,0.7,0.7,0.5,0.5,0.436405703422053,0.0217558000177206,4
"145","CB",200,0.9,0.9,0,0,0.436405703422053,0.0217558000177206,5
"146","CB",200,0.9,0.9,0,0.1,0.436405703422053,0.0217558000177206,5
"147","CB",200,0.9,0.9,0,0.2,0.436405703422053,0.0217558000177206,5
"148","CB",200,0.9,0.9,0,0.3,0.436405703422053,0.0217558000177206,5
"149","CB",200,0.9,0.9,0,0.4,0.436405703422053,0.0217558000177206,5
"150","CB",200,0.9,0.9,0,0.5,0.436405703422053,0.0217558000177206,5
"151","CB",200,0.9,0.9,0.1,0,0.436405703422053,0.0217558000177206,5
"152","CB",200,0.9,0.9,0.1,0.1,0.436405703422053,0.0217558000177206,5
"153","CB",200,0.9,0.9,0.1,0.2,0.436405703422053,0.0217558000177206,5
"154","CB",200,0.9,0.9,0.1,0.3,0.436405703422053,0.0217558000177206,5
"155","CB",200,0.9,0.9,0.1,0.4,0.436405703422053,0.0217558000177206,5
"156","CB",200,0.9,0.9,0.1,0.5,0.436405703422053,0.0217558000177206,5
"157","CB",200,0.9,0.9,0.2,0,0.436405703422053,0.0217558000177206,5
"158","CB",200,0.9,0.9,0.2,0.1,0.436405703422053,0.0217558000177206,5
"159","CB",200,0.9,0.9,0.2,0.2,0.436405703422053,0.0217558000177206,5
"160","CB",200,0.9,0.9,0.2,0.3,0.436405703422053,0.0217558000177206,5
"161","CB",200,0.9,0.9,0.2,0.4,0.436405703422053,0.0217558000177206,5
"162","CB",200,0.9,0.9,0.2,0.5,0.436405703422053,0.0217558000177206,5
"163","CB",200,0.9,0.9,0.3,0,0.436405703422053,0.0217558000177206,5
"164","CB",200,0.9,0.9,0.3,0.1,0.436405703422053,0.0217558000177206,5
"165","CB",200,0.9,0.9,0.3,0.2,0.436405703422053,0.0217558000177206,5
"166","CB",200,0.9,0.9,0.3,0.3,0.436405703422053,0.0217558000177206,5
"167","CB",200,0.9,0.9,0.3,0.4,0.436405703422053,0.0217558000177206,5
"168","CB",200,0.9,0.9,0.3,0.5,0.436405703422053,0.0217558000177206,5
"169","CB",200,0.9,0.9,0.4,0,0.436405703422053,0.0217558000177206,5
"170","CB",200,0.9,0.9,0.4,0.1,0.436405703422053,0.0217558000177206,5
"171","CB",200,0.9,0.9,0.4,0.2,0.436405703422053,0.0217558000177206,5
"172","CB",200,0.9,0.9,0.4,0.3,0.436405703422053,0.0217558000177206,5
"173","CB",200,0.9,0.9,0.4,0.4,0.436405703422053,0.0217558000177206,5
"174","CB",200,0.9,0.9,0.4,0.5,0.436405703422053,0.0217558000177206,5
"175","CB",200,0.9,0.9,0.5,0,0.436405703422053,0.0217558000177206,5
"176","CB",200,0.9,0.9,0.5,0.1,0.436405703422053,0.0217558000177206,5
"177","CB",200,0.9,0.9,0.5,0.2,0.436405703422053,0.0217558000177206,5
"178","CB",200,0.9,0.9,0.5,0.3,0.436405703422053,0.0217558000177206,5
"179","CB",200,0.9,0.9,0.5,0.4,0.436405703422053,0.0217558000177206,5
"180","CB",200,0.9,0.9,0.5,0.5,0.436405703422053,0.0217558000177206,5
"181","CB",526,0.1,0.2,0,0,0.436405703422053,0.0217558000177206,6
"182","CB",526,0.1,0.2,0,0.1,0.436405703422053,0.0217558000177206,6
"183","CB",526,0.1,0.2,0,0.2,0.436405703422053,0.0217558000177206,6
"184","CB",526,0.1,0.2,0,0.3,0.436405703422053,0.0217558000177206,6
"185","CB",526,0.1,0.2,0,0.4,0.436405703422053,0.0217558000177206,6
"186","CB",526,0.1,0.2,0,0.5,0.436405703422053,0.0217558000177206,6
"187","CB",526,0.1,0.2,0.1,0,0.436405703422053,0.0217558000177206,6
"188","CB",526,0.1,0.2,0.1,0.1,0.436405703422053,0.0217558000177206,6
"189","CB",526,0.1,0.2,0.1,0.2,0.436405703422053,0.0217558000177206,6
"190","CB",526,0.1,0.2,0.1,0.3,0.436405703422053,0.0217558000177206,6
"191","CB",526,0.1,0.2,0.1,0.4,0.436405703422053,0.0217558000177206,6
"192","CB",526,0.1,0.2,0.1,0.5,0.436405703422053,0.0217558000177206,6
"193","CB",526,0.1,0.2,0.2,0,0.436405703422053,0.0217558000177206,6
"194","CB",526,0.1,0.2,0.2,0.1,0.436405703422053,0.0217558000177206,6
"195","CB",526,0.1,0.2,0.2,0.2,0.436405703422053,0.0217558000177206,6
"196","CB",526,0.1,0.2,0.2,0.3,0.436405703422053,0.0217558000177206,6
"197","CB",526,0.1,0.2,0.2,0.4,0.436405703422053,0.0217558000177206,6
"198","CB",526,0.1,0.2,0.2,0.5,0.436405703422053,0.0217558000177206,6
"199","CB",526,0.1,0.2,0.3,0,0.436405703422053,0.0217558000177206,6
"200","CB",526,0.1,0.2,0.3,0.1,0.436405703422053,0.0217558000177206,6
"201","CB",526,0.1,0.2,0.3,0.2,0.436405703422053,0.0217558000177206,6
"202","CB",526,0.1,0.2,0.3,0.3,0.436405703422053,0.0217558000177206,6
"203","CB",526,0.1,0.2,0.3,0.4,0.436405703422053,0.0217558000177206,6
"204","CB",526,0.1,0.2,0.3,0.5,0.436405703422053,0.0217558000177206,6
"205","CB",526,0.1,0.2,0.4,0,0.436405703422053,0.0217558000177206,6
"206","CB",526,0.1,0.2,0.4,0.1,0.436405703422053,0.0217558000177206,6
"207","CB",526,0.1,0.2,0.4,0.2,0.436405703422053,0.0217558000177206,6
"208","CB",526,0.1,0.2,0.4,0.3,0.436405703422053,0.0217558000177206,6
"209","CB",526,0.1,0.2,0.4,0.4,0.436405703422053,0.0217558000177206,6
"210","CB",526,0.1,0.2,0.4,0.5,0.436405703422053,0.0217558000177206,6
"211","CB",526,0.1,0.2,0.5,0,0.436405703422053,0.0217558000177206,6
