"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"111","RandUCB",200,0.7,0.7,0,0.2,-0.203365552884852,-0.206363474546094,4
"112","RandUCB",200,0.7,0.7,0,0.3,-0.200235984672477,-0.208045790981541,4
"113","RandUCB",200,0.7,0.7,0,0.4,-0.197222660310321,-0.208329225897519,4
"114","RandUCB",200,0.7,0.7,0,0.5,-0.192269048585382,-0.204642067790991,4
"115","RandUCB",200,0.7,0.7,0.1,0,-0.207071450136297,-0.204114805089115,4
"116","RandUCB",200,0.7,0.7,0.1,0.1,-0.206662678643965,-0.203302518387203,4
"117","RandUCB",200,0.7,0.7,0.1,0.2,-0.204593495042355,-0.207956690424499,4
"118","RandUCB",200,0.7,0.7,0.1,0.3,-0.191960147457662,-0.212509634970033,4
"119","RandUCB",200,0.7,0.7,0.1,0.4,-0.204003170735462,-0.203932738709547,4
"120","RandUCB",200,0.7,0.7,0.1,0.5,-0.19189377208742,-0.208861634326283,4
"121","RandUCB",200,0.7,0.7,0.2,0,-0.207633462442976,-0.200608298362048,4
"122","RandUCB",200,0.7,0.7,0.2,0.1,-0.204292670114621,-0.199087876914775,4
"123","RandUCB",200,0.7,0.7,0.2,0.2,-0.204294842794959,-0.20509932574593,4
"124","RandUCB",200,0.7,0.7,0.2,0.3,-0.200713678262512,-0.204745071383822,4
"125","RandUCB",200,0.7,0.7,0.2,0.4,-0.202027141757964,-0.206311816370758,4
"126","RandUCB",200,0.7,0.7,0.2,0.5,-0.194029050072443,-0.207249066136957,4
"127","RandUCB",200,0.7,0.7,0.3,0,-0.208890479050671,-0.19694727782971,4
"128","RandUCB",200,0.7,0.7,0.3,0.1,-0.208810534042257,-0.201030732192462,4
"129","RandUCB",200,0.7,0.7,0.3,0.2,-0.200999492881191,-0.203050485754244,4
"130","RandUCB",200,0.7,0.7,0.3,0.3,-0.205125106579922,-0.198307097098923,4
"131","RandUCB",200,0.7,0.7,0.3,0.4,-0.204108153335227,-0.203235017663381,4
"132","RandUCB",200,0.7,0.7,0.3,0.5,-0.202237053976022,-0.199961765009436,4
"133","RandUCB",200,0.7,0.7,0.4,0,-0.212481680176124,-0.193984556537561,4
"134","RandUCB",200,0.7,0.7,0.4,0.1,-0.204330458708608,-0.198848650426631,4
"135","RandUCB",200,0.7,0.7,0.4,0.2,-0.211006544604974,-0.196885249308782,4
"136","RandUCB",200,0.7,0.7,0.4,0.3,-0.206112734936983,-0.195730592714281,4
"137","RandUCB",200,0.7,0.7,0.4,0.4,-0.196487305266181,-0.203824722436951,4
"138","RandUCB",200,0.7,0.7,0.4,0.5,-0.201360455640566,-0.197518440896018,4
"139","RandUCB",200,0.7,0.7,0.5,0,-0.209763192037981,-0.199274008745559,4
"140","RandUCB",200,0.7,0.7,0.5,0.1,-0.210967052026642,-0.193125758143347,4
"141","RandUCB",200,0.7,0.7,0.5,0.2,-0.208529765757456,-0.195041184139282,4
"142","RandUCB",200,0.7,0.7,0.5,0.3,-0.204618224282679,-0.196147281654041,4
"143","RandUCB",200,0.7,0.7,0.5,0.4,-0.197287254285895,-0.19988420916327,4
"144","RandUCB",200,0.7,0.7,0.5,0.5,-0.197697884189918,-0.204166698891411,4
"145","RandUCB",200,0.9,0.9,0,0,-0.109115130236224,-0.106468523814512,5
"146","RandUCB",200,0.9,0.9,0,0.1,-0.111753682779826,-0.109765669445192,5
"147","RandUCB",200,0.9,0.9,0,0.2,-0.103350560942268,-0.113763531760193,5
"148","RandUCB",200,0.9,0.9,0,0.3,-0.104743360363283,-0.111976471860081,5
"149","RandUCB",200,0.9,0.9,0,0.4,-0.0977127853597124,-0.115552836082387,5
"150","RandUCB",200,0.9,0.9,0,0.5,-0.0994701727944849,-0.109872344114941,5
"151","RandUCB",200,0.9,0.9,0.1,0,-0.102137399308843,-0.110120703773336,5
"152","RandUCB",200,0.9,0.9,0.1,0.1,-0.109586137459139,-0.107203605912116,5
"153","RandUCB",200,0.9,0.9,0.1,0.2,-0.105344654539112,-0.107291601761023,5
"154","RandUCB",200,0.9,0.9,0.1,0.3,-0.102536508425267,-0.109487782107417,5
"155","RandUCB",200,0.9,0.9,0.1,0.4,-0.102373467824465,-0.106241976501008,5
"156","RandUCB",200,0.9,0.9,0.1,0.5,-0.101013068527998,-0.111613279230344,5
"157","RandUCB",200,0.9,0.9,0.2,0,-0.113111680822542,-0.105925986309623,5
"158","RandUCB",200,0.9,0.9,0.2,0.1,-0.104898491203311,-0.105719468965654,5
"159","RandUCB",200,0.9,0.9,0.2,0.2,-0.11160810838934,-0.108843520444686,5
"160","RandUCB",200,0.9,0.9,0.2,0.3,-0.109682257422138,-0.10575866575068,5
"161","RandUCB",200,0.9,0.9,0.2,0.4,-0.105384448018588,-0.10697746114015,5
"162","RandUCB",200,0.9,0.9,0.2,0.5,-0.104231352976646,-0.102997059174444,5
"163","RandUCB",200,0.9,0.9,0.3,0,-0.101379055756686,-0.106885375146423,5
"164","RandUCB",200,0.9,0.9,0.3,0.1,-0.110780184297816,-0.101240912055567,5
"165","RandUCB",200,0.9,0.9,0.3,0.2,-0.108090753829012,-0.107215606678082,5
"166","RandUCB",200,0.9,0.9,0.3,0.3,-0.106102661192196,-0.107613249387526,5
"167","RandUCB",200,0.9,0.9,0.3,0.4,-0.104531636574333,-0.10657795246615,5
"168","RandUCB",200,0.9,0.9,0.3,0.5,-0.105598866992795,-0.1078771205333,5
"169","RandUCB",200,0.9,0.9,0.4,0,-0.11394817126763,-0.103096357241025,5
"170","RandUCB",200,0.9,0.9,0.4,0.1,-0.106230241334227,-0.109700584203294,5
"171","RandUCB",200,0.9,0.9,0.4,0.2,-0.112615686962557,-0.107273878501083,5
"172","RandUCB",200,0.9,0.9,0.4,0.3,-0.105923810721839,-0.101472241754573,5
"173","RandUCB",200,0.9,0.9,0.4,0.4,-0.10721241525019,-0.104711294505615,5
"174","RandUCB",200,0.9,0.9,0.4,0.5,-0.105582741816954,-0.11358188478822,5
"175","RandUCB",200,0.9,0.9,0.5,0,-0.115652516825236,-0.0978829605529951,5
"176","RandUCB",200,0.9,0.9,0.5,0.1,-0.100335467793619,-0.102921512325764,5
"177","RandUCB",200,0.9,0.9,0.5,0.2,-0.110225937129891,-0.105770218949935,5
"178","RandUCB",200,0.9,0.9,0.5,0.3,-0.103086677368837,-0.106217631460672,5
"179","RandUCB",200,0.9,0.9,0.5,0.4,-0.0984513804377209,-0.109517858968816,5
"180","RandUCB",200,0.9,0.9,0.5,0.5,-0.102923549595149,-0.107571824626347,5
"181","RandUCB",526,0.1,0.2,0,0,-0.0358471352464356,-0.00231369915875512,6
"182","RandUCB",526,0.1,0.2,0,0.1,-0.0350937276449385,-0.00279174492925038,6
"183","RandUCB",526,0.1,0.2,0,0.2,-0.0356144071875351,-0.00239743753950464,6
"184","RandUCB",526,0.1,0.2,0,0.3,-0.0350221131764016,-0.00322405248272353,6
"185","RandUCB",526,0.1,0.2,0,0.4,-0.0355475739327275,-0.00244200121026028,6
"186","RandUCB",526,0.1,0.2,0,0.5,-0.0351804228422486,-0.00423341319742954,6
"187","RandUCB",526,0.1,0.2,0.1,0,-0.0352924943582096,-0.0029946783586059,6
"188","RandUCB",526,0.1,0.2,0.1,0.1,-0.0352444927416445,-0.00263718868324378,6
"189","RandUCB",526,0.1,0.2,0.1,0.2,-0.0364922726900707,-0.00253072240554558,6
"190","RandUCB",526,0.1,0.2,0.1,0.3,-0.0357780650745419,-0.00296278023179825,6
"191","RandUCB",526,0.1,0.2,0.1,0.4,-0.0357164724340985,-0.00378233857412605,6
"192","RandUCB",526,0.1,0.2,0.1,0.5,-0.0355172705759542,-0.0039795438251736,6
"193","RandUCB",526,0.1,0.2,0.2,0,-0.0359055478872628,-0.00238368042829395,6
"194","RandUCB",526,0.1,0.2,0.2,0.1,-0.0358591932681506,-0.00276805086823201,6
"195","RandUCB",526,0.1,0.2,0.2,0.2,-0.03514728426323,-0.00303393063432658,6
"196","RandUCB",526,0.1,0.2,0.2,0.3,-0.0351553237668398,-0.00326276477406279,6
"197","RandUCB",526,0.1,0.2,0.2,0.4,-0.0355727188285856,-0.00369791567853164,6
"198","RandUCB",526,0.1,0.2,0.2,0.5,-0.0357041702994821,-0.00361432283536953,6
"199","RandUCB",526,0.1,0.2,0.3,0,-0.0365255370585527,-0.00267941109655878,6
"200","RandUCB",526,0.1,0.2,0.3,0.1,-0.035682212758298,-0.00300451849619396,6
"201","RandUCB",526,0.1,0.2,0.3,0.2,-0.0350088363559569,-0.003834224784632,6
"202","RandUCB",526,0.1,0.2,0.3,0.3,-0.0361813955805321,-0.00297632685208982,6
"203","RandUCB",526,0.1,0.2,0.3,0.4,-0.035978183433213,-0.00391021868261457,6
"204","RandUCB",526,0.1,0.2,0.3,0.5,-0.0352016872264177,-0.00460003903101097,6
"205","RandUCB",526,0.1,0.2,0.4,0,-0.0362988920888,-0.00303595837417767,6
"206","RandUCB",526,0.1,0.2,0.4,0.1,-0.0365172302743922,-0.00319800008839435,6
"207","RandUCB",526,0.1,0.2,0.4,0.2,-0.0369084785677841,-0.00387345368427996,6
"208","RandUCB",526,0.1,0.2,0.4,0.3,-0.0354584485670602,-0.00393875661425164,6
"209","RandUCB",526,0.1,0.2,0.4,0.4,-0.0356587828066232,-0.00381679334393786,6
"210","RandUCB",526,0.1,0.2,0.4,0.5,-0.036966887298485,-0.00482200746314057,6
"211","RandUCB",526,0.1,0.2,0.5,0,-0.0370726678489613,-0.00352779020183783,6
"212","RandUCB",526,0.1,0.2,0.5,0.1,-0.0363282016254515,-0.0037670538610789,6
"213","RandUCB",526,0.1,0.2,0.5,0.2,-0.0363238729860032,-0.00478353823362729,6
"214","RandUCB",526,0.1,0.2,0.5,0.3,-0.0357241458019795,-0.00407370827500608,6
"215","RandUCB",526,0.1,0.2,0.5,0.4,-0.0361571580999677,-0.00484784178012834,6
"216","RandUCB",526,0.1,0.2,0.5,0.5,-0.0357161731423647,-0.00449242028415214,6
"217","RandUCB",162,0.1,0.3,0,0,-0.0424503554671549,-0.00208471709267394,7
"218","RandUCB",162,0.1,0.3,0,0.1,-0.0423765647548511,-0.00239175656425161,7
"219","RandUCB",162,0.1,0.3,0,0.2,-0.0429217120671724,-0.00247985485705032,7
"220","RandUCB",162,0.1,0.3,0,0.3,-0.041934910666408,-0.00294907780443421,7
"221","RandUCB",162,0.1,0.3,0,0.4,-0.0419358466519103,-0.00323794755425721,7
"222","RandUCB",162,0.1,0.3,0,0.5,-0.0428797629218974,-0.00308870953675966,7
"223","RandUCB",162,0.1,0.3,0.1,0,-0.0426894611497725,-0.00236960365783906,7
"224","RandUCB",162,0.1,0.3,0.1,0.1,-0.043174621977014,-0.00261693513549299,7
"225","RandUCB",162,0.1,0.3,0.1,0.2,-0.043022582746605,-0.00284730971640956,7
"226","RandUCB",162,0.1,0.3,0.1,0.3,-0.0428524269120628,-0.00262607472109205,7
"227","RandUCB",162,0.1,0.3,0.1,0.4,-0.0431559777716869,-0.00334072019967468,7
"228","RandUCB",162,0.1,0.3,0.1,0.5,-0.0435338158173862,-0.00391674470367803,7
"229","RandUCB",162,0.1,0.3,0.2,0,-0.0436791085117449,-0.00307038666216075,7
"230","RandUCB",162,0.1,0.3,0.2,0.1,-0.0432970538017405,-0.00286394306180071,7
"231","RandUCB",162,0.1,0.3,0.2,0.2,-0.0433241252309363,-0.00337474329211496,7
"232","RandUCB",162,0.1,0.3,0.2,0.3,-0.0439941237290925,-0.00323946149994103,7
"233","RandUCB",162,0.1,0.3,0.2,0.4,-0.0434861571897266,-0.00438076562786016,7
"234","RandUCB",162,0.1,0.3,0.2,0.5,-0.0430631813906336,-0.00443980332377242,7
"235","RandUCB",162,0.1,0.3,0.3,0,-0.0436551799194025,-0.00351309893159329,7
"236","RandUCB",162,0.1,0.3,0.3,0.1,-0.0437538873624305,-0.00282179607797928,7
"237","RandUCB",162,0.1,0.3,0.3,0.2,-0.043483730102592,-0.00375296566000255,7
"238","RandUCB",162,0.1,0.3,0.3,0.3,-0.0431335504313676,-0.0052652038260349,7
"239","RandUCB",162,0.1,0.3,0.3,0.4,-0.0435943647670657,-0.00418883889376526,7
"240","RandUCB",162,0.1,0.3,0.3,0.5,-0.0432824946632424,-0.00439608879076303,7
"241","RandUCB",162,0.1,0.3,0.4,0,-0.0428510594714321,-0.00356525514504885,7
"242","RandUCB",162,0.1,0.3,0.4,0.1,-0.0448577658902088,-0.00318994084959834,7
"243","RandUCB",162,0.1,0.3,0.4,0.2,-0.0435121618754794,-0.00403312063404737,7
"244","RandUCB",162,0.1,0.3,0.4,0.3,-0.0447197465578552,-0.00506797804995901,7
"245","RandUCB",162,0.1,0.3,0.4,0.4,-0.0436090529591741,-0.00473424515200427,7
"246","RandUCB",162,0.1,0.3,0.4,0.5,-0.0431036670968262,-0.00640488114084248,7
"247","RandUCB",162,0.1,0.3,0.5,0,-0.0436277084091098,-0.00494477150197997,7
"248","RandUCB",162,0.1,0.3,0.5,0.1,-0.0448078547584332,-0.00393437472720137,7
"249","RandUCB",162,0.1,0.3,0.5,0.2,-0.0456141261614026,-0.00498507615032878,7
"250","RandUCB",162,0.1,0.3,0.5,0.3,-0.0431438376095557,-0.00447321812935997,7
"251","RandUCB",162,0.1,0.3,0.5,0.4,-0.0432808099171032,-0.00562719511551085,7
"252","RandUCB",162,0.1,0.3,0.5,0.5,-0.043578652221625,-0.00663379752762594,7
"253","RandUCB",82,0.1,0.4,0,0,-0.0495703594508947,-0.00284097190019161,8
"254","RandUCB",82,0.1,0.4,0,0.1,-0.0494659331361708,-0.00324706030993371,8
"255","RandUCB",82,0.1,0.4,0,0.2,-0.0493567589252577,-0.003794311444828,8
"256","RandUCB",82,0.1,0.4,0,0.3,-0.0504568465303842,-0.00457465771843113,8
"257","RandUCB",82,0.1,0.4,0,0.4,-0.0480689089353242,-0.00530299831233627,8
"258","RandUCB",82,0.1,0.4,0,0.5,-0.0483670021074284,-0.00442746957381096,8
"259","RandUCB",82,0.1,0.4,0.1,0,-0.0491021661971857,-0.00348187399342115,8
"260","RandUCB",82,0.1,0.4,0.1,0.1,-0.0490757013733322,-0.00271722581576722,8
"261","RandUCB",82,0.1,0.4,0.1,0.2,-0.0487626301446169,-0.00387506106874602,8
"262","RandUCB",82,0.1,0.4,0.1,0.3,-0.0504918579110556,-0.0045950359320821,8
"263","RandUCB",82,0.1,0.4,0.1,0.4,-0.0493870970133089,-0.00315992267191328,8
"264","RandUCB",82,0.1,0.4,0.1,0.5,-0.0493641615660476,-0.00468749429203258,8
"265","RandUCB",82,0.1,0.4,0.2,0,-0.0511568066074534,-0.00465985432385663,8
"266","RandUCB",82,0.1,0.4,0.2,0.1,-0.0496119002849824,-0.00367064052354976,8
"267","RandUCB",82,0.1,0.4,0.2,0.2,-0.0493211937245289,-0.00395059732343717,8
"268","RandUCB",82,0.1,0.4,0.2,0.3,-0.0498387186395392,-0.00437149342838405,8
"269","RandUCB",82,0.1,0.4,0.2,0.4,-0.051089894146166,-0.00452220624900207,8
"270","RandUCB",82,0.1,0.4,0.2,0.5,-0.0501266126549616,-0.00623005074912442,8
"271","RandUCB",82,0.1,0.4,0.3,0,-0.050834410162183,-0.00355683271746637,8
"272","RandUCB",82,0.1,0.4,0.3,0.1,-0.0476704175299463,-0.00484065337564393,8
"273","RandUCB",82,0.1,0.4,0.3,0.2,-0.0486311078751148,-0.00465368186441578,8
"274","RandUCB",82,0.1,0.4,0.3,0.3,-0.0504389841237319,-0.00426220276238343,8
"275","RandUCB",82,0.1,0.4,0.3,0.4,-0.0499457677647584,-0.00589290892820582,8
"276","RandUCB",82,0.1,0.4,0.3,0.5,-0.0508252072070073,-0.00599976557092324,8
"277","RandUCB",82,0.1,0.4,0.4,0,-0.0499905436366466,-0.00425552995858591,8
"278","RandUCB",82,0.1,0.4,0.4,0.1,-0.0515285091618135,-0.00377588917741689,8
"279","RandUCB",82,0.1,0.4,0.4,0.2,-0.0510969974903994,-0.00540012011718444,8
"280","RandUCB",82,0.1,0.4,0.4,0.3,-0.051569185333149,-0.00659880648340222,8
"281","RandUCB",82,0.1,0.4,0.4,0.4,-0.050752082803871,-0.00426501912485688,8
"282","RandUCB",82,0.1,0.4,0.4,0.5,-0.0496846673181137,-0.00660940876203103,8
"283","RandUCB",82,0.1,0.4,0.5,0,-0.0490606547748087,-0.00633096261694915,8
"284","RandUCB",82,0.1,0.4,0.5,0.1,-0.0503085488993886,-0.00601131999136884,8
"285","RandUCB",82,0.1,0.4,0.5,0.2,-0.0505778834927981,-0.00923557273863346,8
"286","RandUCB",82,0.1,0.4,0.5,0.3,-0.0496872351500186,-0.00764781359812167,8
"287","RandUCB",82,0.1,0.4,0.5,0.4,-0.050546211026896,-0.00670067112969336,8
"288","RandUCB",82,0.1,0.4,0.5,0.5,-0.0503864471498433,-0.00884417857845626,8
"289","RandUCB",254,0.4,0.6,0,0,-0.194524331607632,-0.0435342218589482,12
"290","RandUCB",254,0.4,0.6,0,0.1,-0.195598521845331,-0.0481397998127415,12
"291","RandUCB",254,0.4,0.6,0,0.2,-0.191588814396279,-0.0441841391604481,12
"292","RandUCB",254,0.4,0.6,0,0.3,-0.189233341716318,-0.0455128486167007,12
