"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"113","TS",200,0.7,0.7,0,0.4,-0.00647170169217959,-0.0125602832376311,4
"114","TS",200,0.7,0.7,0,0.5,-0.00355652923489758,-0.005874081217498,4
"115","TS",200,0.7,0.7,0.1,0,-0.00712827180982778,-0.0074989305365063,4
"116","TS",200,0.7,0.7,0.1,0.1,-0.00548770973626833,-0.00790639970474372,4
"117","TS",200,0.7,0.7,0.1,0.2,-0.00759554323933609,-0.0120308118173152,4
"118","TS",200,0.7,0.7,0.1,0.3,-0.00792165863246508,-0.0108276627203939,4
"119","TS",200,0.7,0.7,0.1,0.4,-0.00579276712031374,-0.00975226461405732,4
"120","TS",200,0.7,0.7,0.1,0.5,-0.00927123126465168,-0.0158410716892087,4
"121","TS",200,0.7,0.7,0.2,0,-0.00910445337961652,-0.00699624387156306,4
"122","TS",200,0.7,0.7,0.2,0.1,-0.00564360060945746,-0.00683520493622147,4
"123","TS",200,0.7,0.7,0.2,0.2,-0.00698566955091828,-0.00809547822676604,4
"124","TS",200,0.7,0.7,0.2,0.3,-0.0110049174451343,-0.0118549726399175,4
"125","TS",200,0.7,0.7,0.2,0.4,-0.00745665795578809,-0.00877506056879607,4
"126","TS",200,0.7,0.7,0.2,0.5,-0.00982965044595829,-0.0111709325431566,4
"127","TS",200,0.7,0.7,0.3,0,-0.0101982961007259,-0.00529808615469785,4
"128","TS",200,0.7,0.7,0.3,0.1,-0.0112765829249935,-0.00608998448401343,4
"129","TS",200,0.7,0.7,0.3,0.2,-0.00958230633370216,-0.00945174082319966,4
"130","TS",200,0.7,0.7,0.3,0.3,-0.00887543978048555,-0.0105072455023048,4
"131","TS",200,0.7,0.7,0.3,0.4,-0.00548351663725311,-0.0093103056694982,4
"132","TS",200,0.7,0.7,0.3,0.5,-0.00867051594521651,-0.00774746875893195,4
"133","TS",200,0.7,0.7,0.4,0,-0.00542996239761184,-0.0069944224808044,4
"134","TS",200,0.7,0.7,0.4,0.1,-0.00961613951184459,-0.0072552849724965,4
"135","TS",200,0.7,0.7,0.4,0.2,-0.0103000135668293,-0.00887362317472651,4
"136","TS",200,0.7,0.7,0.4,0.3,-0.0100751139772203,-0.00891853801141773,4
"137","TS",200,0.7,0.7,0.4,0.4,-0.00589499177949349,-0.00947996614038682,4
"138","TS",200,0.7,0.7,0.4,0.5,-0.00570032026842393,-0.0135440292859402,4
"139","TS",200,0.7,0.7,0.5,0,-0.0124153789870602,-0.00471989234488246,4
"140","TS",200,0.7,0.7,0.5,0.1,-0.0109705120065762,-0.00498549456803277,4
"141","TS",200,0.7,0.7,0.5,0.2,-0.00463873837485074,-0.00558474573765899,4
"142","TS",200,0.7,0.7,0.5,0.3,-0.00797073533801884,-0.0106400133324891,4
"143","TS",200,0.7,0.7,0.5,0.4,-0.00967775594029807,-0.00818368292909144,4
"144","TS",200,0.7,0.7,0.5,0.5,-0.00930400336397497,-0.0130871605119268,4
"145","TS",200,0.9,0.9,0,0,-0.00429317493377945,-0.00363529943673468,5
"146","TS",200,0.9,0.9,0,0.1,-0.00340778917724216,-0.00576331330741897,5
"147","TS",200,0.9,0.9,0,0.2,-0.00290984948618034,-0.00428333371309597,5
"148","TS",200,0.9,0.9,0,0.3,-0.00209460981868692,-0.00692060621896995,5
"149","TS",200,0.9,0.9,0,0.4,-0.00415361350105992,-0.00764451655830733,5
"150","TS",200,0.9,0.9,0,0.5,-0.00288216751785719,-0.0093681751534872,5
"151","TS",200,0.9,0.9,0.1,0,-0.00453662494248119,-0.00453017882311446,5
"152","TS",200,0.9,0.9,0.1,0.1,-0.00371319934431447,-0.0017178987578832,5
"153","TS",200,0.9,0.9,0.1,0.2,-0.00408005413998203,-0.00450090961421667,5
"154","TS",200,0.9,0.9,0.1,0.3,-0.00383905600512613,-0.0075499138522569,5
"155","TS",200,0.9,0.9,0.1,0.4,-0.00391246104926424,-0.00819836620910608,5
"156","TS",200,0.9,0.9,0.1,0.5,-0.00389161958107132,-0.00597533565451935,5
"157","TS",200,0.9,0.9,0.2,0,-0.00706040954405651,-0.00547446401448837,5
"158","TS",200,0.9,0.9,0.2,0.1,-0.00520880510375143,-0.00459367764557328,5
"159","TS",200,0.9,0.9,0.2,0.2,-0.00664752774097477,-0.00328243848204801,5
"160","TS",200,0.9,0.9,0.2,0.3,-0.00362268068127025,-0.00393220815350159,5
"161","TS",200,0.9,0.9,0.2,0.4,-0.00592898016014409,-0.0086964217777572,5
"162","TS",200,0.9,0.9,0.2,0.5,-0.00234526416125314,-0.00665993727876402,5
"163","TS",200,0.9,0.9,0.3,0,-0.00545629358429289,-0.00295812112377658,5
