"","method","Nt","p0","p1","miss0","miss1","ONS","ONS_se","scenario"
"334","RPW",82,0.6,0.9,0.1,0.3,49.2367,4.48101339633188,10
"335","RPW",82,0.6,0.9,0.1,0.4,44.3333,4.50360293031428,10
"336","RPW",82,0.6,0.9,0.1,0.5,39.6713,4.68703031090194,10
"337","RPW",82,0.6,0.9,0.2,0,64.8285,5.40396225290324,10
"338","RPW",82,0.6,0.9,0.2,0.1,58.9369,5.12065821004003,10
"339","RPW",82,0.6,0.9,0.2,0.2,53.199,4.97681382689636,10
"340","RPW",82,0.6,0.9,0.2,0.3,47.8551,4.74602533343919,10
"341","RPW",82,0.6,0.9,0.2,0.4,42.596,4.56276954125328,10
"342","RPW",82,0.6,0.9,0.2,0.5,37.7381,4.58139796467531,10
"343","RPW",82,0.6,0.9,0.3,0,64.1487,5.75940147763099,10
"344","RPW",82,0.6,0.9,0.3,0.1,58.073,5.59814298857148,10
"345","RPW",82,0.6,0.9,0.3,0.2,52.2102,5.28161012386848,10
"346","RPW",82,0.6,0.9,0.3,0.3,46.4778,4.99844031679484,10
"347","RPW",82,0.6,0.9,0.3,0.4,41.1622,4.64960783779713,10
"348","RPW",82,0.6,0.9,0.3,0.5,36.0476,4.43992179329243,10
"349","RPW",82,0.6,0.9,0.4,0,63.4083,6.24303521204757,10
"350","RPW",82,0.6,0.9,0.4,0.1,57.2775,5.97254224565114,10
"351","RPW",82,0.6,0.9,0.4,0.2,51.3422,5.64438526931914,10
"352","RPW",82,0.6,0.9,0.4,0.3,45.3667,5.33676673819662,10
"353","RPW",82,0.6,0.9,0.4,0.4,39.7325,4.86385746717007,10
"354","RPW",82,0.6,0.9,0.4,0.5,34.4532,4.50315862520524,10
